,sc_id,spot,corr,celltype
391,cell_291,spot_39,0.9822101340477833,Olig
392,cell_495,spot_39,0.9822101340477833,Olig
393,cell_1076,spot_39,0.9822101340477833,Olig
394,cell_324,spot_40,0.9623965256367665,Astro
395,cell_855,spot_40,0.9623965256367665,Astro
396,cell_1321,spot_40,0.9623965256367665,Astro
397,cell_81,spot_40,0.9623965256367665,Olig
398,cell_588,spot_40,0.9623965256367665,Olig
399,cell_1206,spot_40,0.9623965256367665,Olig
400,cell_61,spot_40,0.9623965256367665,Olig
401,cell_459,spot_40,0.9623965256367665,Olig
402,cell_360,spot_41,0.8625270567413778,Astro
403,cell_439,spot_41,0.8625270567413778,Olig
404,cell_1206,spot_41,0.8625270567413778,Olig
405,cell_714,spot_41,0.8625270567413778,Olig
406,cell_751,spot_42,0.9757262069744017,Astro
407,cell_1392,spot_42,0.9757262069744017,Astro
408,cell_1300,spot_42,0.9757262069744017,Olig
409,cell_1454,spot_42,0.9757262069744017,ExcitatoryL6
410,cell_1462,spot_42,0.9757262069744017,ExcitatoryL6
411,cell_1257,spot_42,0.9757262069744017,ExcitatoryL6
412,cell_1471,spot_42,0.9757262069744017,ExcitatoryL6
413,cell_1130,spot_42,0.9757262069744017,ExcitatoryL6
414,cell_843,spot_42,0.9757262069744017,ExcitatoryL6
415,cell_1215,spot_42,0.9757262069744017,ExcitatoryL6
416,cell_1367,spot_42,0.9757262069744017,ExcitatoryL6
417,cell_848,spot_42,0.9757262069744017,ExcitatoryL6
418,cell_1508,spot_43,0.9751882659248043,ExcitatoryL2and3
419,cell_710,spot_43,0.9751882659248043,Endo
420,cell_1027,spot_43,0.9751882659248043,ExcitatoryL6
421,cell_1426,spot_43,0.9751882659248043,ExcitatoryL6
422,cell_1272,spot_43,0.9751882659248043,ExcitatoryL6
423,cell_1159,spot_43,0.9751882659248043,ExcitatoryL6
424,cell_131,spot_43,0.9751882659248043,ExcitatoryL6
425,cell_1500,spot_43,0.9751882659248043,ExcitatoryL6
426,cell_564,spot_43,0.9751882659248043,ExcitatoryL6
427,cell_1170,spot_43,0.9751882659248043,ExcitatoryL6
428,cell_713,spot_43,0.9751882659248043,ExcitatoryL6
